id,year,source_id,target_id,close
3,2004,1,2,2
5,2004,1,2,1
10,2004,1,2,3
12,2004,1,2,3
16,2004,1,2,3
30,2004,1,2,2
35,2004,1,2,2
36,2004,1,2,2
46,2004,1,2,2
54,2004,1,2,3
57,2004,1,2,1
59,2004,1,2,1
61,2004,1,2,1
62,2004,1,2,2
63,2004,1,2,2
65,2004,1,2,3
66,2004,1,2,2
70,2004,1,2,1
71,2004,1,2,2
72,2004,1,2,3
74,2004,1,2,1
75,2004,1,2,1
80,2004,1,2,1
83,2004,1,2,1
84,2004,1,2,1
90,2004,1,2,1
92,2004,1,2,3
93,2004,1,2,2
94,2004,1,2,3
95,2004,1,2,1
103,2004,1,2,1
106,2004,1,2,2
112,2004,1,2,2
116,2004,1,2,1
117,2004,1,2,3
125,2004,1,2,3
129,2004,1,2,1
131,2004,1,2,1
133,2004,1,2,3
135,2004,1,2,1
136,2004,1,2,2
139,2004,1,2,1
140,2004,1,2,3
144,2004,1,2,2
152,2004,1,2,1
155,2004,1,2,2
160,2004,1,2,2
166,2004,1,2,3
171,2004,1,2,2
177,2004,1,2,1
181,2004,1,2,1
184,2004,1,2,1
185,2004,1,2,2
193,2004,1,2,2
198,2004,1,2,2
199,2004,1,2,1
202,2004,1,2,3
218,2004,1,2,1
220,2004,1,2,1
223,2004,1,2,3
229,2004,1,2,2
233,2004,1,2,2
235,2004,1,2,3
237,2004,1,2,2
238,2004,1,2,2
239,2004,1,2,1
250,2004,1,2,1
252,2004,1,2,1
253,2004,1,2,1
255,2004,1,2,1
258,2004,1,2,1
259,2004,1,2,1
261,2004,1,2,1
262,2004,1,2,2
266,2004,1,2,1
268,2004,1,2,1
269,2004,1,2,2
270,2004,1,2,1
271,2004,1,2,2
276,2004,1,2,1
278,2004,1,2,1
280,2004,1,2,1
281,2004,1,2,2
284,2004,1,2,1
285,2004,1,2,2
289,2004,1,2,1
294,2004,1,2,3
296,2004,1,2,2
299,2004,1,2,2
300,2004,1,2,1
301,2004,1,2,3
302,2004,1,2,2
305,2004,1,2,2
314,2004,1,2,2
316,2004,1,2,1
317,2004,1,2,1
320,2004,1,2,1
322,2004,1,2,1
323,2004,1,2,1
326,2004,1,2,2
330,2004,1,2,1
331,2004,1,2,1
336,2004,1,2,1
337,2004,1,2,2
340,2004,1,2,1
345,2004,1,2,3
350,2004,1,2,1
353,2004,1,2,1
355,2004,1,2,2
356,2004,1,2,2
358,2004,1,2,1
359,2004,1,2,1
360,2004,1,2,1
361,2004,1,2,1
363,2004,1,2,2
365,2004,1,2,1
366,2004,1,2,1
370,2004,1,2,1
372,2004,1,2,2
373,2004,1,2,2
375,2004,1,2,1
377,2004,1,2,2
378,2004,1,2,1
381,2004,1,2,2
382,2004,1,2,1
391,2004,1,2,3
392,2004,1,2,3
393,2004,1,2,2
